,Country,Year,ECCN Code,Description,Rank,Ranking
163,Hong Kong,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,8,Exceptions
164,Hong Kong,2018,5B991,Telecommunications Test Equip.,9,Exceptions
165,Hong Kong,2018,3C005,Silicon Carbide Wafers,10,Exceptions
166,Hong Kong,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,1,NLR with ECCN
167,Hong Kong,2018,5A991,Telecommunication Equip. Not Controlled by 5A001,2,NLR with ECCN
168,Hong Kong,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,3,NLR with ECCN
169,Hong Kong,2018,5A992,Equipment not controlled by 5A002,4,NLR with ECCN
170,Hong Kong,2018,3A991,Electronic Devices and Components,5,NLR with ECCN
171,Hong Kong,2018,7A994,Computers Not Controlled By 4A001 or 4A003,6,NLR with ECCN
172,Hong Kong,2018,4A994,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003,7,NLR with ECCN
173,Hong Kong,2018,3A992,General Purpose Electronic Equip. Note Controlled by 3A002,8,NLR with ECCN
174,Hong Kong,2018,3A999,"Specific Processing Equip., N.E.S.",9,NLR with ECCN
175,Hong Kong,2018,3B999,"Specific Processing Equip., N.E.S",10,NLR with ECCN
176,India,2018,9A515,Spacecraft and Related Commodities,1,License
177,India,2018,9A610,Military Aircraft and Related Commodities,2,License
178,India,2018,9B610,"Test, Inspection, and Production Equip. and Related Commodities Specia...",3,License
179,India,2018,3A611,Military Electronics,4,License
180,India,2018,3A233,Mass Spectrometers,5,License
181,India,2018,3A001,Electronic Components,6,License
182,India,2018,2B201,Machine tools for Removing Or Cutting Metals,7,License
183,India,2018,9A619,Military Gas Turbine Engines and Related Commodities,8,License
184,India,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,9,License
185,India,2018,2B001,Machine tools/Numerical Control Units,10,License
186,India,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
187,India,2018,5B002,"""Information Security"" Test, Inspection and ""Production"" Equipment",2,Exceptions
188,India,2018,3A001,Electronic Components,3,Exceptions
189,India,2018,5D002,"""Software"" as follows (see List of Items Controlled)",4,Exceptions
190,India,2018,3A002,General Purpose Electronic Equip.,5,Exceptions
191,India,2018,9A610,Military Aircraft and Related Commodities,6,Exceptions
192,India,2018,7A103,"Instrumentation, Navigation Equip./Systems Not",7,Exceptions
193,India,2018,9A619,Military Gas Turbine Engines and Related Commodities,8,Exceptions
194,India,2018,No ECCN,No ECCN is required for License Exceptions TMP*,9,Exceptions
195,India,2018,3A611,Military Electronics,10,Exceptions
196,India,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,1,NLR with ECCN
197,India,2018,5A991,Telecommunication Equip. Not Controlled by 5A001,2,NLR with ECCN
198,India,2018,5A992,Equipment not controlled by 5A002,3,NLR with ECCN
199,India,2018,1C999,"Specific Materials, N.E.S., as Follows (See List of Items Controlled)...",4,NLR with ECCN
200,India,2018,3A999,"Specific Processing Equip., N.E.S.",5,NLR with ECCN
201,India,2018,2B991,"Numerical Control Units for Machine tools and ""Numerically Controlled""...",6,NLR with ECCN
202,India,2018,7A994,Other Navigation Direction Finding Equip.... Not Controlled under 7A003,7,NLR with ECCN
203,India,2018,3A992,General Purpose Electronic Equip. Note Controlled by 3A002,8,NLR with ECCN
204,India,2018,4A994,Computers Not Controlled By 4A001 or 4A003,9,NLR with ECCN
205,India,2018,5B991,Telecommunications Test Equip,10,NLR with ECCN
206,Israel,2018,0A606,Ground Vehicles and Related Commodities,1,License
207,Israel,2018,9A610,Military Aircraft and Related Commodities,2,License
208,Israel,2018,9A619,Military Gas Turbine Engines and Related Commodities,3,License
209,Israel,2018,0A604,Commodities Related to Military Explosive Devices and Charges,4,License
210,Israel,2018,3A611,Military Electronics,5,License
211,Israel,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,6,License
212,Israel,2018,9A604,"Commodities Related to Launch Vehicles, Missiles, Rockets, torpedoes, ...",7,License
213,Israel,2018,1A607,"Military dissemination ""equipment"" for riot control agents, ...",8,License
214,Israel,2018,1C202,Alloys other than those controlled by 1C002.b.3 or 1C002.b.4 as follows ...,9,License
215,Israel,2018,1A984,"Chemical Agents, Including Tear Gas",10,License
216,Israel,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
217,Israel,2018,9A619,Military Gas Turbine Engines and Related Commodities,2,Exceptions
218,Israel,2018,9A610,Military Aircraft and Related Commodities,3,Exceptions
219,Israel,2018,3B001,Epitaxial Equip. for Semiconductors,4,Exceptions
220,Israel,2018,3A001,Electronic Components,5,Exceptions
221,Israel,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,6,Exceptions
222,Israel,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,7,Exceptions
223,Israel,2018,3A002,General Purpose Electronic Equip.,8,Exceptions
224,Israel,2018,3A611,Military Electronics,9,Exceptions
225,Israel,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,1,NLR with ECCN
226,Israel,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,2,NLR with ECCN
227,Israel,2018,3B991,Other Mfg/Test Equip. Not Controlled By 3B,3,NLR with ECCN
228,Israel,2018,5A991,Telecommunication Equip. Not Controlled by 5A001,4,NLR with ECCN
229,Israel,2018,5A992,Equipment not controlled by 5A002,5,NLR with ECCN
230,Israel,2018,3B992,Equip. for the Inspection/Testing of Components not Controlled by 3B002,6,NLR with ECCN
