,ECCN Code,Description
1769,0A606,"Ground vehicles and related commodities, as follows (see List of Items"
1771,3A611,"Military electronics, as follows (see List of Items Controlled)"
1773,9A619,Military gas turbine engines and related commodities (see List of Item
1774,7A003,"'Inertial Measurement Equipment or Systems', Having any of the Followi"
1775,9A604,"Commodities related to launch vehicles, missiles, and rockets"
1782,9A515,"""Spacecraft"" and related commodities, as follows (see List of Items Co"
1783,0A614,"Military training ""equipment"", as follows (see List of Items Controlle"
1784,6A003,"Cameras, Systems or Equipment, and ""Components"" Therefor, as Follows"
1791,3B991,"Equipment not controlled by 3B001 for the manufacture of electronic ""p"
1793,2B999,"Specific Processing Equipment, n.e.s., as Follows (See List of Items C"
1794,3A991,"Electronic devices, and ""components"" not controlled by 3A001"
1795,4A994,"Computers, ""electronic assemblies"" and related equipment not controlle"
1800,3A001,Electronic items as follows
1804,1C006,Fluids and lubricating materials
1810,5B002,"Digital computers, electronic assemblies, and related equipment"
1819,4A994,"Computers, electronic assemblies and related equipment not controlled by 4A003 or 4A203"
1821,6A993,"Cameras, not controlled by 6A003 or 6A203"
1822,3A999,Specific processing equipment
1824,1C990,Fibrous and filamentary materials
1827,9A515,"Spacecraft and related commodities, as follows (see List of Items Controlled)"
1828,3A001,Electronic items as follows (see List of Items Controlled).
1830,9A619,Military gas turbine engines and related commodities (see List of Items Controlled)
1831,3A233,"Mass spectrometers, capable of measuring ions of 230 atomic mass units"
1839,5B002,"Information Security test, inspection and production equipment, as follows"
1840,7A103,"Instrumentation, navigation equipment and systems, other than those controlled"
1841,5D002,Software as follows (see List of Items Controlled).
1844,1C006,"Fluids and lubricating materials, as follows (see List of Items Controlled)"
1846,5A991,"Telecommunication equipment, not controlled by 5A001 (see List of Items Controlled)"
1848,3A992,General purpose electronic equipment not controlled by 3A002.
1849,4A994,"Computers, electronic assemblies and related equipment not controlled"
1850,3A999,"Specific Processing Equipment, n.e.s., as Follows (See List of Items Controlled)"
1852,3A991,"Electronic devices, and components not controlled by 3A001."
1853,2B999,"Specific Processing Equipment, n.e.s., as Follows (See List of Items Controlled)"
1859,5A002,"""Information security"" systems, equipment and ""components,"" as follows"
1860,1A007,"Equipment and devices, specially designed to initiate charges and de"
1861,1C350,Chemicals that may be used as precursors for toxic chemical agents (se
1863,6A003,"Cameras, Systems or Equipment, and Components Therefor, as Follows ("
1864,0A982,"Law enforcement restraint devices, including leg irons, shackles, and"
1868,5D002,"""Software"" as follows (see List of Items Controlled)."
1869,1C006,"Fluids and lubricating materials, as follows (see List of Items Contro"
1874,7B611,"Test, inspection, and production commodities specially designed for"
1880,1C992,"Commercial charges and devices containing energetic materials, n.e.s."
1881,1C355,Chemical Weapons Convention (CWC) Schedule 2 and 3 chemicals and famil
1891,2B230,All types of pressure transducers
1905,9A991,"Aircraft, n.e.s., and gas turbine engines not controlled by 9A001"
1908,3B991,Equipment not controlled by 3B001 for the manufacture of electronic
1911,3B992,Equipment not controlled by 3B002 for the inspection or testing of ele
1920,9A515,Spacecraft and related commodities
1932,1C001,Materials specially designed for absorbing electromagnetic radiation
1936,3B991,Equipment not controlled by 3B001 for the manufacture of electronic printed circuit boards
1942,3B992,Equipment not controlled by 3B002 for the inspection or testing of electronic components
1944,4A994,"Computers, electronic assemblies, and related equipment not controlled by 4A001"
1946,0A606,"Ground vehicles and related commodities, as follows (see List of Items Controlled)"
1949,7A003,"Inertial Measurement Equipment or Systems, Having any of the Following"
1950,1C351,"Human and animal pathogens and toxins, as follows (see List of Items Controlled)"
1951,7A611,"Military fire control, laser, imaging, and guidance equipment, as follows (see List of Items Controlled)"
1961,0A614,"Military training equipment, as follows (see List of Items Controlled)"
1964,8A609,Surface vessels of war and related commodities (see List of Items Controlled)
1966,9A991,"Aircraft, n.e.s., and gas turbine engines not controlled by 9A001 or 9A619"
1969,3B992,Equipment not controlled by 3B002 for the inspection or testing of electronic assemblies
1970,3B001,"Equipment for the manufacturing of semiconductor devices or materials, n.e.s."
1971,4A994,"Specific Processing Equipment, n.e.s., as Follows (See List of Items Controlled)"
1972,3A999,"Computers, electronic assemblies and related equipment not controlled by 3A002"
1974,2A291,"Electronic devices, and components not controlled by 3A001"
1975,2B230,"All types of ""pressure transducers"" capable of measuring absolute pres"
1983,1A985,Optical sighting devices for firearms (including shotguns controlled b
1984,0A504,"Fingerprinting powders, dyes, and inks"
1987,3A002,"General purpose ""electronic assemblies,"" modules and equipment, as fol"
1989,5B002,"""Information Security"" test, inspection and ""production"" equipment, as"
1990,9A604,"Commodities related to launch vehicles, missiles, and rockets (see Lis"
1991,3B001,"Equipment for the manufacturing of semiconductor devices or materials,"
1993,2B998,"Assemblies, circuit boards or inserts ""specially designed"" for machine"
2001,3A991,"Electronic devices, and ""components"" not controlled by 3A001."
2007,0B501,"Test, inspection, and production equipment"
2012,3A981,Polygraphs
2020,9B001,"Manufacturing Equipment, tooling or Fixtures"
2025,4A994,"Computers, electronic assemblies and related equipment"
2026,9A991,"Aircraft, n.e.s., and gas turbine engines"
2028,5A992,Equipment
2029,9A990,"Diesel engines, n.e.s., and tractors"
2032,1C992,Commercial charges and devices
2036,1C111,"Propellants and constituent chemicals for propellants, other than thos"
2038,9B610,"Test, inspection, and production ""equipment"" and related commodities"
2042,7A611,"Military fire control, laser, imaging, and guidance equipment, as foll"
2044,0A614,"Military training ""equipment,"" as follows (see List of Items Controlle"
2046,5A002,"""Information security"" systems, equipment and ""components"", as follows"
2066,0A502,Shotguns; shotguns parts and components
2071,3A981,Polygraphs (except biomedical recorders)
2082,6A004,Optical equipment and components
2085,9A990,"Aircraft, n.e.s., and gas turbine engines not controlled by 9A001 or 9A002"
2090,4A994,"Diesel engines, n.e.s., and tractors and specially designed parts"
2091,8A992,Portable electric generators and specially designed parts and components
2093,3A992,"Computers, electronic assemblies and related equipment not controlled by 3A002"
2094,6A998,"Radar systems, equipment and major components, n.e.s., and specially designed parts"
2095,9A610,"Military aircraft and related commodities, other than those enumerated"
2103,6A003,Neutron generator systems
2104,6A003,"Cameras, systems or equipment"
2109,1A004,Protective and detection equipment and components
2114,7A003,Inertial measurement equipment or systems
2121,1A999,Specific processing equipment
2123,9A610,Military aircraft and related commodities
2124,1C992,Commercial charges and devices containing energetic materials
2132,7A002,"Gyros or Angular Rate Sensors, Having any of the Following, and ""Speci"
2134,1C230,"Beryllium metal, alloys containing more than 50% beryllium by weight,"
2143,6A005,"""Lasers,"" ""components"" and optical equipment, as follows (see List of"
2144,1C008,Non-fluorinated polymeric substances as follows (see List of Items Con
2158,9E610,"Technology required for the development, production, operation, maintenance, or use of military items"
2169,9A991,"Aircraft, n.e.s., and gas turbine engines not controlled by 9A001 or 9A110"
2179,4A994,"Computers, electronic assemblies and related equipment not controlled by 5A001"
2183,3A991,"Electronic devices, and components"
2185,2B230,All types of pressure transducers capable of measuring absolute pres
2194,0A614,"Military training equipment, as follows (see List of Items Controlle"
2205,3B991,Equipment not controlled by 3B001 for the manufacture of electronic p
2233,9B610,"Test, inspection, and production equipment and related commodities "
2242,1A995,Protective and detection equipment not specially designed for milita
2243,5D992,Information Security software not controlled by 5D002 as follows (
2252,0B505,"Test, inspection, and production equipment"
2253,6A005,"""Lasers"""
2258,2B991,Numerical control units for machine tools
2259,EAR99,Items subject to the EAR
2263,9A991,"""Aircraft"""
2264,5B002,"""Information security"""
2282,7A103,"Instrumentation, navigation equipment and systems, other than those"
2293,7A611,"Military fire control, laser, imaging, and guidance equipment, as follows"
2299,4A994,"Computers, ""electronic assemblies"" and related equipment not controlled"
2301,2B999,"Specific Processing Equipment, n.e.s., as Follows"
2303,1A995,"Protective and detection equipment not ""specially designed"" for milita"
2305,2D002,"Software for electronic devices, even when residing in an electronic device"
2308,1B118,Continuous mixers having all of the following
2309,2B001,"Machine tools and any combination thereof, for removing or cutting material"
2314,5A001,"Telecommunications systems, equipment, components and accessories"
2316,2A001,"Anti-friction bearings, bearing systems and components"
2323,1C999,Specific materials
2324,5D992,Information security software not controlled by 5D002
2325,1C991,"Vaccines, immunotoxins, medical products, diagnostic and food testing"
2334,2B230,Ground vehicles and related commodities
2360,2B350,"Chemical manufacturing facilities and equipment, except valves controlled by 2B350"
